<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
IMOEX;60;20220103;11:00;3824.4500000;3861.9000000;3824.2900000;3854.0800000;11733696859
IMOEX;60;20220103;12:00;3854.0000000;3866.1000000;3852.1600000;3855.5000000;9187850231
IMOEX;60;20220103;13:00;3855.4800000;3861.1500000;3851.6300000;3860.4500000;4309243868
IMOEX;60;20220103;14:00;3860.4500000;3864.0600000;3855.2700000;3861.7000000;4831759989
IMOEX;60;20220103;15:00;3861.6400000;3863.4700000;3855.5700000;3856.7100000;3201743988
IMOEX;60;20220103;16:00;3856.1900000;3860.4700000;3849.6800000;3858.5800000;3381626708
IMOEX;60;20220103;17:00;3858.3300000;3860.4700000;3853.1100000;3853.2800000;3004375200
IMOEX;60;20220103;18:00;3852.8300000;3863.0300000;3846.3400000;3851.1800000;7213746038
IMOEX;60;20220103;19:00;3851.2600000;3856.3300000;3850.4500000;3852.5000000;5136109541
IMOEX;60;20220104;11:00;3881.4900000;3881.4900000;3855.8500000;3867.7000000;9310712727
IMOEX;60;20220104;12:00;3867.7000000;3875.1800000;3846.9000000;3858.5500000;11031063825
IMOEX;60;20220104;13:00;3857.4300000;3874.4000000;3856.2000000;3871.6500000;6187938776
IMOEX;60;20220104;14:00;3873.8300000;3889.3200000;3873.7200000;3887.8900000;8668956938
IMOEX;60;20220104;15:00;3888.1400000;3891.9400000;3880.0600000;3880.2800000;4824285572
IMOEX;60;20220104;16:00;3880.0200000;3881.1500000;3862.9100000;3869.9500000;5524350787
IMOEX;60;20220104;17:00;3869.3800000;3876.8400000;3868.9300000;3873.4800000;3765076372
IMOEX;60;20220104;18:00;3873.2500000;3880.8900000;3866.3500000;3876.2100000;6343515273
IMOEX;60;20220104;19:00;3876.2300000;3876.8100000;3867.0900000;3873.4900000;6542231519
IMOEX;60;20220105;11:00;3858.1800000;3874.0700000;3851.7300000;3869.5800000;4544715667
IMOEX;60;20220105;12:00;3869.9600000;3875.0900000;3852.8600000;3867.5000000;6656503410
IMOEX;60;20220105;13:00;3867.3100000;3869.4500000;3863.2300000;3866.1600000;3257521411
IMOEX;60;20220105;14:00;3866.1400000;3868.0700000;3857.1100000;3857.1300000;3709555986
IMOEX;60;20220105;15:00;3857.4600000;3857.7700000;3831.4600000;3831.4600000;10613202429
IMOEX;60;20220105;16:00;3830.5400000;3843.8200000;3829.6100000;3843.0700000;4711543552
IMOEX;60;20220105;17:00;3843.3500000;3848.2700000;3840.7200000;3841.4400000;4674535255
IMOEX;60;20220105;18:00;3841.4900000;3841.4900000;3820.6300000;3821.3900000;10241249539
IMOEX;60;20220105;19:00;3821.7000000;3825.6700000;3805.0600000;3815.0500000;11280960747
IMOEX;60;20220106;11:00;3756.9800000;3783.9300000;3746.7800000;3767.3300000;12746999569
IMOEX;60;20220106;12:00;3768.7800000;3773.1600000;3720.3800000;3730.8100000;15557222673
IMOEX;60;20220106;13:00;3730.3400000;3753.1300000;3727.0000000;3743.9000000;9737299447
IMOEX;60;20220106;14:00;3743.9100000;3756.4400000;3739.6100000;3744.7500000;8633861639
IMOEX;60;20220106;15:00;3744.6800000;3752.8800000;3737.2600000;3742.9900000;6178189424
IMOEX;60;20220106;16:00;3743.4100000;3755.7100000;3743.4100000;3752.8000000;4086943706
IMOEX;60;20220106;17:00;3752.9100000;3764.1800000;3743.1400000;3761.1600000;7772667290
IMOEX;60;20220106;18:00;3761.4100000;3770.1800000;3753.6300000;3757.1200000;9192758856
IMOEX;60;20220106;19:00;3757.1700000;3759.0700000;3745.0100000;3753.2900000;9011686191
IMOEX;60;20220107;11:00;3772.0400000;3772.0400000;3772.0400000;3772.0400000;0
IMOEX;60;20220107;12:00;3772.0400000;3772.0400000;3772.0400000;3772.0400000;0
IMOEX;60;20220107;13:00;3772.0400000;3772.0400000;3772.0400000;3772.0400000;0
IMOEX;60;20220107;14:00;3772.0400000;3772.0400000;3772.0400000;3772.0400000;0
IMOEX;60;20220107;15:00;3772.0400000;3772.0400000;3772.0400000;3772.0400000;0
IMOEX;60;20220107;16:00;3772.0400000;3772.0400000;3772.0400000;3772.0400000;0
IMOEX;60;20220107;17:00;3772.0400000;3772.0400000;3772.0400000;3772.0400000;0
IMOEX;60;20220107;18:00;3772.0400000;3772.0400000;3772.0400000;3772.0400000;0
IMOEX;60;20220107;19:00;3772.0400000;3772.0400000;3772.0400000;3772.0400000;0
IMOEX;60;20220110;11:00;3798.2000000;3806.7200000;3795.0100000;3803.1000000;8941250637
IMOEX;60;20220110;12:00;3803.0900000;3803.0900000;3790.7200000;3792.0700000;13034641982
IMOEX;60;20220110;13:00;3791.9900000;3803.6200000;3790.5800000;3792.3400000;7937059213
IMOEX;60;20220110;14:00;3792.3800000;3795.0300000;3776.4600000;3779.0100000;8016801271
IMOEX;60;20220110;15:00;3778.6700000;3781.7800000;3769.0700000;3770.4700000;7340774944
IMOEX;60;20220110;16:00;3769.9000000;3770.2800000;3746.1400000;3750.1600000;11405764920
IMOEX;60;20220110;17:00;3749.7600000;3768.4500000;3742.6300000;3761.7400000;7253034792
IMOEX;60;20220110;18:00;3761.8500000;3764.5000000;3739.6200000;3741.4900000;9354626530
IMOEX;60;20220110;19:00;3741.1500000;3741.1500000;3727.1800000;3738.6800000;11472120479
IMOEX;60;20220111;11:00;3759.1000000;3779.2500000;3751.5500000;3772.8500000;7542435506
IMOEX;60;20220111;12:00;3771.4600000;3773.8700000;3759.6600000;3773.5900000;8482095253
IMOEX;60;20220111;13:00;3773.6200000;3789.5700000;3773.6200000;3782.5500000;7255197466
IMOEX;60;20220111;14:00;3783.1200000;3792.3700000;3783.1200000;3792.3700000;7013628970
IMOEX;60;20220111;15:00;3792.7900000;3800.6700000;3785.4900000;3794.3300000;9110761181
IMOEX;60;20220111;16:00;3794.1100000;3800.7000000;3791.2900000;3797.6700000;6984560203
IMOEX;60;20220111;17:00;3797.7600000;3799.3000000;3791.6700000;3796.7300000;6727025310
IMOEX;60;20220111;18:00;3796.8800000;3800.0800000;3780.1800000;3782.4700000;13684035893
IMOEX;60;20220111;19:00;3782.8900000;3792.8300000;3782.8900000;3785.2900000;13704510556
IMOEX;60;20220112;11:00;3791.9500000;3797.8500000;3784.3300000;3790.1300000;7074232159
IMOEX;60;20220112;12:00;3789.9800000;3803.2200000;3789.9800000;3797.9900000;12493458914
IMOEX;60;20220112;13:00;3798.3200000;3808.3500000;3797.6800000;3801.0600000;10849837388
IMOEX;60;20220112;14:00;3801.3600000;3830.5600000;3796.5800000;3828.0000000;16239763354
IMOEX;60;20220112;15:00;3828.5500000;3840.8400000;3827.0900000;3830.6600000;12775486195
IMOEX;60;20220112;16:00;3830.7100000;3837.0800000;3826.4600000;3833.7800000;8801716755
IMOEX;60;20220112;17:00;3833.8500000;3837.6800000;3830.2800000;3834.9100000;7736218407
IMOEX;60;20220112;18:00;3834.5600000;3841.2200000;3831.6900000;3841.2200000;9831032186
IMOEX;60;20220112;19:00;3840.5200000;3841.6000000;3824.4800000;3829.9500000;14490548941
IMOEX;60;20220113;11:00;3812.9500000;3818.2700000;3799.3200000;3808.2600000;8093878377
IMOEX;60;20220113;12:00;3807.2500000;3818.9000000;3804.7700000;3807.7700000;11982411878
IMOEX;60;20220113;13:00;3807.4900000;3814.1900000;3799.0200000;3813.4100000;9082495715
IMOEX;60;20220113;14:00;3813.7500000;3813.8100000;3801.9500000;3803.9100000;6583154515
IMOEX;60;20220113;15:00;3803.9300000;3805.0400000;3738.8900000;3742.0500000;32299038820
IMOEX;60;20220113;16:00;3739.6600000;3758.6900000;3736.5300000;3742.0100000;19199882336
IMOEX;60;20220113;17:00;3741.9000000;3763.3400000;3741.5400000;3762.4400000;13251587830
IMOEX;60;20220113;18:00;3762.3400000;3763.9600000;3704.1200000;3713.6600000;34254921831
IMOEX;60;20220113;19:00;3715.9600000;3717.0500000;3664.5800000;3674.7300000;43602988929
IMOEX;60;20220114;11:00;3706.3300000;3723.5100000;3670.8900000;3681.7000000;18083391100
IMOEX;60;20220114;12:00;3682.7400000;3702.0500000;3673.4300000;3676.2400000;18012406937
IMOEX;60;20220114;13:00;3675.7000000;3685.5300000;3593.5000000;3622.9200000;38638797561
IMOEX;60;20220114;14:00;3622.2500000;3627.7100000;3568.2100000;3601.3800000;28017149365
IMOEX;60;20220114;15:00;3601.9800000;3612.9400000;3589.2500000;3605.8900000;17347833989
IMOEX;60;20220114;16:00;3607.6000000;3622.3800000;3602.1800000;3610.8300000;12316264085
IMOEX;60;20220114;17:00;3611.0800000;3611.0800000;3512.3100000;3552.3500000;50396140937
IMOEX;60;20220114;18:00;3551.7200000;3635.7800000;3547.7500000;3628.7000000;43036763340
IMOEX;60;20220114;19:00;3628.7100000;3628.9800000;3596.9800000;3596.9800000;27047908749
IMOEX;60;20220117;11:00;3633.2800000;3650.9900000;3608.0000000;3608.0000000;14431684880
IMOEX;60;20220117;12:00;3608.4300000;3625.8800000;3572.2500000;3585.8300000;25757812066
IMOEX;60;20220117;13:00;3584.7100000;3602.7700000;3570.4700000;3581.1900000;14457672288
IMOEX;60;20220117;14:00;3581.3400000;3585.0900000;3553.2100000;3564.7600000;14325080604
IMOEX;60;20220117;15:00;3565.0800000;3567.4200000;3528.3900000;3545.4600000;20723296722
IMOEX;60;20220117;16:00;3545.0300000;3557.4500000;3531.6000000;3537.1000000;10955643433
IMOEX;60;20220117;17:00;3536.4100000;3550.0300000;3529.7300000;3536.4300000;11390679132
IMOEX;60;20220117;18:00;3536.4100000;3538.2200000;3501.9400000;3506.5800000;15314957578
IMOEX;60;20220117;19:00;3507.0200000;3568.5500000;3503.6800000;3560.3500000;28150924856
IMOEX;60;20220118;11:00;3523.3500000;3534.5600000;3451.1800000;3500.4300000;25571369644
IMOEX;60;20220118;12:00;3499.9600000;3512.2700000;3466.8800000;3483.0000000;15945563594
IMOEX;60;20220118;13:00;3482.7100000;3491.9200000;3458.2200000;3470.9500000;12075935900
IMOEX;60;20220118;14:00;3471.1800000;3488.9400000;3470.1900000;3481.5400000;7884536443
IMOEX;60;20220118;15:00;3481.4900000;3483.4300000;3404.7200000;3411.3000000;31719185766
IMOEX;60;20220118;16:00;3409.7200000;3409.7200000;3353.7500000;3375.6800000;55676648007
IMOEX;60;20220118;17:00;3376.2600000;3413.4300000;3347.4500000;3349.6400000;40498672045
IMOEX;60;20220118;18:00;3348.8700000;3359.5400000;3297.4600000;3349.3200000;64156846937
IMOEX;60;20220118;19:00;3345.3800000;3368.5600000;3317.4500000;3328.9400000;48577101974
IMOEX;60;20220119;11:00;3278.3700000;3435.7700000;3259.1900000;3416.5800000;56407621619
IMOEX;60;20220119;12:00;3418.0600000;3456.1000000;3395.5400000;3449.6000000;40251267010
IMOEX;60;20220119;13:00;3450.3000000;3471.5100000;3425.5200000;3454.9800000;27737369874
IMOEX;60;20220119;14:00;3453.7100000;3460.5600000;3421.3700000;3446.9300000;16521665129
IMOEX;60;20220119;15:00;3446.7200000;3487.2200000;3445.9200000;3483.2400000;23146963098
IMOEX;60;20220119;16:00;3483.8300000;3499.9700000;3460.8800000;3471.3500000;26438362935
IMOEX;60;20220119;17:00;3470.9100000;3490.8700000;3459.0400000;3481.1300000;15426653397
IMOEX;60;20220119;18:00;3481.3100000;3483.6000000;3436.0100000;3450.1500000;25397577321
IMOEX;60;20220119;19:00;3451.0000000;3470.1300000;3428.5500000;3436.8200000;23933253144
IMOEX;60;20220120;11:00;3523.9100000;3532.0700000;3434.4200000;3465.3300000;28310574263
IMOEX;60;20220120;12:00;3464.5700000;3470.1400000;3404.4600000;3438.9500000;30556770461
IMOEX;60;20220120;13:00;3438.4000000;3480.1800000;3427.9400000;3460.8200000;14996193436
IMOEX;60;20220120;14:00;3460.9300000;3467.9600000;3444.0500000;3446.0800000;10227377632
IMOEX;60;20220120;15:00;3445.6500000;3469.2800000;3434.8500000;3457.2300000;11278108021
IMOEX;60;20220120;16:00;3457.2200000;3463.7000000;3429.4300000;3439.7000000;10652052497
IMOEX;60;20220120;17:00;3438.0100000;3477.2900000;3433.8100000;3476.1800000;23670977320
IMOEX;60;20220120;18:00;3477.6400000;3510.9500000;3475.5600000;3510.3600000;33047565349
IMOEX;60;20220120;19:00;3509.9100000;3533.6100000;3509.3500000;3516.0200000;27636119900
IMOEX;60;20220121;11:00;3421.1000000;3456.7100000;3407.5000000;3451.3700000;16269946338
IMOEX;60;20220121;12:00;3446.9800000;3449.2600000;3418.1500000;3438.3700000;22244055445
IMOEX;60;20220121;13:00;3437.1200000;3459.0400000;3429.6900000;3449.3300000;13269168202
IMOEX;60;20220121;14:00;3448.6500000;3459.3000000;3437.5700000;3448.4500000;11664560507
IMOEX;60;20220121;15:00;3448.7000000;3469.5800000;3420.2000000;3448.5600000;27545070387
IMOEX;60;20220121;16:00;3449.3500000;3503.7100000;3449.3500000;3477.4500000;28525142646
IMOEX;60;20220121;17:00;3478.5300000;3481.9000000;3455.0700000;3464.1400000;14128332815
IMOEX;60;20220121;18:00;3463.3200000;3473.8900000;3435.8100000;3436.2500000;21111571730
IMOEX;60;20220121;19:00;3434.4300000;3446.8600000;3416.3600000;3439.2500000;24991006618
IMOEX;60;20220124;11:00;3419.9500000;3419.9500000;3361.0000000;3365.5400000;22437702713
IMOEX;60;20220124;12:00;3364.0600000;3370.3800000;3320.7800000;3321.9800000;25412828433
IMOEX;60;20220124;13:00;3322.0200000;3328.9200000;3252.7300000;3288.6200000;44145563020
IMOEX;60;20220124;14:00;3289.1600000;3289.1600000;3158.8700000;3162.9100000;38396458208
IMOEX;60;20220124;15:00;3161.0500000;3236.3600000;3161.0500000;3218.9700000;38543082306
IMOEX;60;20220124;16:00;3219.4800000;3240.8800000;3204.6700000;3212.7700000;25940298321
IMOEX;60;20220124;17:00;3215.3100000;3257.3600000;3212.9300000;3246.7500000;25043611110
IMOEX;60;20220124;18:00;3246.8700000;3262.4000000;3227.7500000;3250.2100000;21958535905
IMOEX;60;20220124;19:00;3249.0500000;3254.4900000;3205.2800000;3235.2800000;20328856037
IMOEX;60;20220125;11:00;3319.4100000;3330.9000000;3269.2700000;3284.0100000;23696866255
IMOEX;60;20220125;12:00;3280.5100000;3294.2500000;3230.7100000;3289.5500000;25423228228
IMOEX;60;20220125;13:00;3292.7700000;3313.4100000;3269.0800000;3301.5400000;16327733705
IMOEX;60;20220125;14:00;3302.6100000;3312.2400000;3274.8500000;3290.5900000;14060468182
IMOEX;60;20220125;15:00;3290.6700000;3307.3300000;3286.2600000;3300.2100000;10165618716
IMOEX;60;20220125;16:00;3298.1400000;3303.2300000;3271.1700000;3276.8700000;11994740430
IMOEX;60;20220125;17:00;3276.6800000;3278.7500000;3250.8700000;3273.7400000;15934260305
IMOEX;60;20220125;18:00;3273.1100000;3280.2000000;3249.2700000;3258.6100000;16236768077
IMOEX;60;20220125;19:00;3259.2100000;3271.0100000;3233.8800000;3258.7400000;22312711218
IMOEX;60;20220126;11:00;3334.3300000;3338.0800000;3276.0600000;3288.9000000;18984985261
IMOEX;60;20220126;12:00;3288.2300000;3335.8000000;3286.5000000;3326.6800000;18627546055
IMOEX;60;20220126;13:00;3327.1600000;3358.0000000;3327.1600000;3345.5400000;15655877577
IMOEX;60;20220126;14:00;3346.5800000;3367.5700000;3322.5200000;3361.0500000;18043379635
IMOEX;60;20220126;15:00;3361.8800000;3380.4100000;3361.6300000;3379.3600000;14916828382
IMOEX;60;20220126;16:00;3379.6800000;3389.9400000;3372.5300000;3377.5300000;13133046425
IMOEX;60;20220126;17:00;3377.7500000;3412.1500000;3375.4700000;3404.6900000;19498547092
IMOEX;60;20220126;18:00;3404.8700000;3404.9200000;3379.6100000;3397.2200000;19897428301
IMOEX;60;20220126;19:00;3395.7400000;3398.0900000;3347.8900000;3357.6600000;21116475059
IMOEX;60;20220127;11:00;3289.1000000;3342.2500000;3289.1000000;3327.8000000;12380095942
IMOEX;60;20220127;12:00;3327.2800000;3430.5400000;3317.9500000;3407.6200000;41422965777
IMOEX;60;20220127;13:00;3408.5200000;3427.1800000;3396.9600000;3423.8500000;23372664859
IMOEX;60;20220127;14:00;3425.5500000;3455.5800000;3418.8000000;3441.9000000;21249489740
IMOEX;60;20220127;15:00;3441.1700000;3444.0400000;3420.9500000;3440.3600000;15457298128
IMOEX;60;20220127;16:00;3441.6000000;3492.9400000;3433.0800000;3487.6400000;28346324906
IMOEX;60;20220127;17:00;3487.5400000;3525.6800000;3482.7900000;3507.5900000;44133400132
IMOEX;60;20220127;18:00;3507.2400000;3513.4500000;3465.7300000;3475.2000000;28737720471
IMOEX;60;20220127;19:00;3474.7700000;3475.5900000;3445.2600000;3455.9300000;20698163465
IMOEX;60;20220128;11:00;3517.7800000;3534.2700000;3467.2100000;3467.2100000;25354247223
IMOEX;60;20220128;12:00;3467.7300000;3487.6500000;3446.2400000;3474.4100000;24941563102
IMOEX;60;20220128;13:00;3473.6000000;3520.5700000;3461.1600000;3502.5100000;21334535205
IMOEX;60;20220128;14:00;3504.2100000;3509.2100000;3490.7700000;3499.7900000;11882993854
IMOEX;60;20220128;15:00;3500.0600000;3508.7300000;3487.2800000;3499.7900000;9491993504
IMOEX;60;20220128;16:00;3499.8600000;3502.1800000;3476.9500000;3479.5600000;10566228115
IMOEX;60;20220128;17:00;3480.0600000;3502.9500000;3479.9100000;3491.0300000;12024100332
IMOEX;60;20220128;18:00;3491.1700000;3499.2600000;3485.6900000;3489.4700000;12791221649
IMOEX;60;20220128;19:00;3482.4100000;3494.5400000;3478.1500000;3488.6000000;13495109161
IMOEX;60;20220131;11:00;3525.2200000;3566.0400000;3523.3800000;3559.2000000;20094655430
IMOEX;60;20220131;12:00;3558.7900000;3560.0000000;3529.6600000;3551.9900000;16631496160
IMOEX;60;20220131;13:00;3551.8800000;3561.7300000;3538.7800000;3546.8600000;13736369814
IMOEX;60;20220131;14:00;3547.2600000;3551.0600000;3541.7500000;3549.0800000;10166740209
IMOEX;60;20220131;15:00;3549.3500000;3552.1700000;3526.3500000;3534.1800000;9961041195
IMOEX;60;20220131;16:00;3534.2400000;3543.0300000;3525.0900000;3542.0000000;9964213128
IMOEX;60;20220131;17:00;3541.7700000;3548.5400000;3537.8900000;3544.4100000;7882610321
IMOEX;60;20220131;18:00;3543.9600000;3544.8300000;3528.2300000;3534.9200000;11105486080
IMOEX;60;20220131;19:00;3534.5900000;3539.2100000;3530.3800000;3530.3800000;16972800713
IMOEX;60;20220201;11:00;3573.4400000;3584.1300000;3534.7300000;3549.3800000;22211578900
